Repository,Estado,Page,Total pulls,Pulls wiht tests,pulls without testes,,,,,,
neovim_neovim,open,1,100,46,54,,neovim_neovim,,,WhisperSystems_Signal-iOS,
neovim_neovim,open,2,195,87,108,,total with,1433,,total with,172
opentx_opentx,open,1,27,1,26,,% with,"29,1615791616",,% with,"7,5141983399"
linuxmint_Cinnamon,open,1,18,0,18,,total without,3481,,total without,2117
toggl_toggldesktop,open,1,4,0,4,,% without,"70,8384208384",,% without,"92,4858016601"
IntelOrca_OpenRCT2,open,1,3,0,3,,,,,,
Seldomberry_Hyve,open,1,1,0,1,,opentx_opentx,,,numpy_numpy,
Seldomberry_Cortex,open,1,1,0,1,,total with,55,,total with,1287
mruby_mruby,open,1,57,21,36,,% with,"2,9826464208",,% with,"45,0472523626"
lindenlab_desura-app,open,1,6,0,6,,total without,1789,,total without,1570
WhisperSystems_Signal-iOS,open,1,22,1,21,,% without,"97,0173535792",,% without,"54,9527476374"
numpy_numpy,open,1,100,60,40,,,,,,
numpy_numpy,open,2,200,121,79,,linuxmint_Cinnamon,,,scipy_scipy,
numpy_numpy,open,3,257,156,101,,total with,19,,total with,2527
micropython_micropython,open,1,100,12,88,,% with,"0,8257279444",,% with,"58,2258064516"
micropython_micropython,open,2,161,20,141,,total without,2282,,total without,1813
scipy_scipy,open,1,100,49,51,,% without,"99,1742720556",,% without,"41,7741935484"
scipy_scipy,open,2,200,115,85,,,,,,
scipy_scipy,open,3,205,118,87,,HuiLi_Sqlite3.07.14,,,D-Programming-Language_dmd,
D-Programming-Language_dmd,open,1,100,63,37,,total with,260,,total with,6055
D-Programming-Language_dmd,open,2,152,99,53,,% with,"57,0175438596",,% with,"68,9086149994"
mapserver_mapserver,open,1,19,2,17,,total without,196,,total without,2732
sysown_proxysql-0.2,open,1,25,3,22,,% without,"42,9824561404",,% without,"31,0913850006"
neovim_neovim,closed,1,100,46,54,,,,,,
neovim_neovim,closed,2,200,101,99,,mruby_mruby,,,mapserver_mapserver,
neovim_neovim,closed,3,300,145,155,,total with,940,,total with,96
neovim_neovim,closed,4,400,205,195,,% with,"33,5474660956",,% with,"17,1735241503"
neovim_neovim,closed,5,500,244,256,,total without,1862,,total without,463
neovim_neovim,closed,6,600,293,307,,% without,"66,4525339044",,% without,"82,8264758497"
neovim_neovim,closed,7,700,342,358,,,,,,
neovim_neovim,closed,8,800,375,425,,,,,,
neovim_neovim,closed,9,900,415,485,,,,,,
neovim_neovim,closed,10,1000,448,552,,,,,,
neovim_neovim,closed,11,1100,465,635,,,,,,
neovim_neovim,closed,12,1200,502,698,,,,,,
neovim_neovim,closed,13,1300,534,766,,,,,,
neovim_neovim,closed,14,1400,577,823,,,,,,
neovim_neovim,closed,15,1500,606,894,,,,,,
neovim_neovim,closed,16,1600,644,956,,,,,,
neovim_neovim,closed,17,1700,670,1030,,,,,,
neovim_neovim,closed,18,1800,705,1095,,,,,,
neovim_neovim,closed,19,1900,740,1160,,,,,,
neovim_neovim,closed,20,2000,771,1229,,,,,,
neovim_neovim,closed,21,2100,804,1296,,,,,,
neovim_neovim,closed,22,2200,841,1359,,,,,,
neovim_neovim,closed,23,2300,872,1428,,,,,,
neovim_neovim,closed,24,2400,904,1496,,,,,,
neovim_neovim,closed,25,2500,930,1570,,,,,,
neovim_neovim,closed,26,2600,953,1647,,,,,,
neovim_neovim,closed,27,2700,973,1727,,,,,,
neovim_neovim,closed,28,2800,991,1809,,,,,,
neovim_neovim,closed,29,2900,1018,1882,,,,,,
neovim_neovim,closed,30,3000,1033,1967,,,,,,
neovim_neovim,closed,31,3100,1065,2035,,,,,,
neovim_neovim,closed,32,3200,1103,2097,,,,,,
neovim_neovim,closed,33,3300,1124,2176,,,,,,
neovim_neovim,closed,34,3400,1149,2251,,,,,,
neovim_neovim,closed,35,3500,1176,2324,,,,,,
neovim_neovim,closed,36,3600,1207,2393,,,,,,
neovim_neovim,closed,37,3700,1224,2476,,,,,,
neovim_neovim,closed,38,3800,1242,2558,,,,,,
neovim_neovim,closed,39,3900,1264,2636,,,,,,
neovim_neovim,closed,40,100,12,88,,,,,,
neovim_neovim,closed,41,200,23,177,,,,,,
neovim_neovim,closed,42,300,35,265,,,,,,
neovim_neovim,closed,43,400,37,363,,,,,,
neovim_neovim,closed,44,500,47,453,,,,,,
neovim_neovim,closed,45,600,58,542,,,,,,
neovim_neovim,closed,46,700,78,622,,,,,,
neovim_neovim,closed,47,100,4,96,,,,,,
neovim_neovim,closed,48,119,4,115,,,,,,
