Repository,User,Pull number,Test,Situation
dotnet/corefx,HugoRoss,1524,TRUE,Merged
dotnet/corefx,i3arnon,200,TRUE,Merged
dotnet/corefx,ilya-bin,20112,TRUE,Merged
dotnet/corefx,IvanKishchenko,16806,TRUE,Merged
dotnet/corefx,JamesNK,33783,TRUE,Merged
dotnet/corefx,jamierocks,469,TRUE,Merged
dotnet/corefx,jaredcnance,16288,TRUE,Merged
dotnet/corefx,jarenduan,10918,TRUE,Merged
dotnet/corefx,jashook,7722,TRUE,Merged
dotnet/corefx,JasonLinMS,19758,TRUE,Merged
dotnet/corefx,jbednar79,26790,TRUE,Merged
dotnet/corefx,jlanng,19343,TRUE,Merged
dotnet/corefx,jltrem,67,TRUE,Merged
dotnet/corefx,jonfortescue,27798,TRUE,Merged
dotnet/corefx,JongHeonChoi,30478,TRUE,Merged
dotnet/corefx,jonorossi,2090,TRUE,Merged
dotnet/corefx,jp2masa,32648,TRUE,Merged
dotnet/corefx,jthelin,760,TRUE,Merged
dotnet/corefx,JustNrik,34198,TRUE,Merged
dotnet/corefx,kant2002,30077,TRUE,Merged
dotnet/corefx,kgarlinski,25479,TRUE,Merged
dotnet/corefx,KindDragon,1194,TRUE,Merged
dotnet/corefx,knazeri,1809,TRUE,Merged
dotnet/corefx,laurentkempe,30070,TRUE,Merged
dotnet/corefx,lchesson,33788,TRUE,Merged
dotnet/corefx,lenisha,31897,TRUE,Merged
dotnet/corefx,leotsarev,30071,TRUE,Merged
dotnet/corefx,lillo42,33694,TRUE,Merged
dotnet/corefx,manpaiboy,9956,TRUE,Merged
dotnet/corefx,martincostello,2649,TRUE,Merged
dotnet/corefx,mattpwhite,27753,TRUE,Merged
dotnet/corefx,MI3Guy,2185,TRUE,Merged
dotnet/corefx,migueldeicaza,27377,TRUE,Merged
dotnet/corefx,mikedn,16569,TRUE,Merged
dotnet/corefx,MikevanDongen,19151,TRUE,Merged
dotnet/corefx,mikhailshilkov,30082,TRUE,Merged
dotnet/corefx,mjp41,16763,TRUE,Merged
dotnet/corefx,mjrousos,1542,TRUE,Merged
dotnet/corefx,Mpdreamz,30072,TRUE,Merged
dotnet/corefx,mqudsi,26050,TRUE,Merged
dotnet/corefx,mshwf,16219,TRUE,Merged
dotnet/corefx,msmshazan,32555,TRUE,Merged
dotnet/corefx,n1ghtmare,68,TRUE,Merged
dotnet/corefx,nbarbettini,18089,TRUE,Merged
dotnet/corefx,NickCraver,29681,TRUE,Merged
dotnet/corefx,NightElfik,9165,TRUE,Merged
dotnet/corefx,ninlar,618,TRUE,Merged
dotnet/corefx,oakio,31188,TRUE,Merged
dotnet/corefx,onovotny,9151,TRUE,Merged
dotnet/corefx,pauldipietro,995,TRUE,Merged
dotnet/corefx,PaulHigin,20267,TRUE,Merged
dotnet/corefx,pdeligia,16776,TRUE,Merged
dotnet/corefx,peltco,30076,TRUE,Merged
dotnet/corefx,petvas,30421,TRUE,Merged
dotnet/corefx,prostakov,32229,TRUE,Merged
dotnet/corefx,qubbit,629,TRUE,Merged
dotnet/corefx,rainersigwald,8620,TRUE,Merged
dotnet/corefx,ravimeda,19402,TRUE,Merged
dotnet/corefx,rcabr,2387,TRUE,Merged
dotnet/corefx,reaction1989,16507,TRUE,Merged
dotnet/corefx,robertmclaws,10750,TRUE,Merged
dotnet/corefx,RValore0323,19745,TRUE,Merged
dotnet/corefx,scalablecory,109,TRUE,Merged
dotnet/corefx,seanshpark,9239,TRUE,Merged
dotnet/corefx,selvabrillio,747,TRUE,Merged
dotnet/corefx,sengelha,339,TRUE,Merged
dotnet/corefx,SharpLee,242,TRUE,Merged
dotnet/corefx,skarllot,28141,TRUE,Merged
dotnet/corefx,sonnemaf,25544,TRUE,Merged
dotnet/corefx,sputier,28318,TRUE,Merged
dotnet/corefx,SteveL-MSFT,28849,TRUE,Merged
dotnet/corefx,stimms,97,TRUE,Merged
dotnet/corefx,strajkovmsft,26202,TRUE,Merged
dotnet/corefx,Suchiman,31725,TRUE,Merged
dotnet/corefx,sunandabalu,29311,TRUE,Merged
dotnet/corefx,sywhang,28643,TRUE,Merged
dotnet/corefx,testfirstcoder,26445,TRUE,Merged
dotnet/corefx,theimowski,33661,TRUE,Merged
dotnet/corefx,thezim,32779,TRUE,Merged
dotnet/corefx,Thiez,26500,TRUE,Merged
dotnet/corefx,tymlipari,2798,TRUE,Merged
dotnet/corefx,Tyriar,28783,TRUE,Merged
dotnet/corefx,ujjwol,1376,TRUE,Merged
dotnet/corefx,vecode,1720,TRUE,Merged
dotnet/corefx,wadewegner,7966,TRUE,Merged
dotnet/corefx,WilkaH,30083,TRUE,Merged
dotnet/corefx,wobbol,10794,TRUE,Merged
dotnet/corefx,xied75,34324,TRUE,Merged
dotnet/corefx,xiexie920,8345,TRUE,Merged
dotnet/corefx,xoofx,7701,TRUE,Merged
dotnet/corefx,yagosrocha,33092,TRUE,Merged
dotnet/corefx,YairHalberstadt,33576,TRUE,Merged
dotnet/corefx,yfakariya,9544,TRUE,Merged
dotnet/corefx,YongseopKim,10637,TRUE,Merged
dotnet/corefx,zerhacken,602,TRUE,Merged
dotnet/orleans,Allon-Guralnek,1937,TRUE,Merged
dotnet/orleans,angshuman-agarwal,2113,TRUE,Merged
dotnet/orleans,armona,1625,TRUE,Merged
dotnet/orleans,AwsomeCode,2945,TRUE,Merged
dotnet/orleans,bluexo,5197,TRUE,Merged
dotnet/orleans,bob-dawson,3677,TRUE,Merged
dotnet/orleans,bronsh,2555,TRUE,Merged
dotnet/orleans,buzzers,4845,TRUE,Merged
dotnet/orleans,claylaut,3473,TRUE,Merged
dotnet/orleans,Cuge,3902,TRUE,Merged
dotnet/orleans,cvalusek,1198,TRUE,Merged
dotnet/orleans,cyberdot,4492,TRUE,Merged
dotnet/orleans,danielkrainas,2726,TRUE,Merged
dotnet/orleans,DarkCow,4235,TRUE,Merged
dotnet/orleans,darting,3843,TRUE,Merged
dotnet/orleans,David-Noble-at-work,3294,TRUE,Merged
dotnet/orleans,egmkang,2135,TRUE,Merged
dotnet/orleans,FloMaetschke,1332,TRUE,Merged
dotnet/orleans,gabomgp,2506,TRUE,Merged
dotnet/orleans,isengrim613,5296,TRUE,Merged
dotnet/orleans,Karamell,4660,TRUE,Merged
dotnet/orleans,KodrAus,1047,TRUE,Merged
dotnet/orleans,Liversage,3154,TRUE,Merged
dotnet/orleans,Lutando,2746,TRUE,Merged
dotnet/orleans,Ma3yTa,4573,TRUE,Merged
dotnet/orleans,martinothamar,4169,TRUE,Merged
dotnet/orleans,meenie216,2383,TRUE,Merged
dotnet/orleans,michaelahern,977,TRUE,Merged
dotnet/orleans,muxa,4838,TRUE,Merged
dotnet/orleans,Nepomuceno,3182,TRUE,Merged
dotnet/orleans,pedroreys,1429,TRUE,Merged
dotnet/orleans,ph1ll,2622,TRUE,Merged
dotnet/orleans,qodfathr,2127,TRUE,Merged
dotnet/orleans,qwoz,3385,TRUE,Merged
dotnet/orleans,RaringCoder,2387,TRUE,Merged
