Repository,Estado,Page,Total pulls,Pulls wiht tests,pulls without testes,,,,,,
tux3_qTox,closed,21,1000,0,1000,,,,,,
tux3_qTox,closed,22,1100,0,1100,,,,,,
tux3_qTox,closed,23,1200,0,1200,,,,,,
tux3_qTox,closed,24,1300,100,1200,,,,,,
tux3_qTox,closed,25,1318,118,1200,,,,,,
hpcc-systems_HPCC-Platform,closed,1,100,8,92,,,,,,
hpcc-systems_HPCC-Platform,closed,2,200,13,187,,,,,,
hpcc-systems_HPCC-Platform,closed,3,300,21,279,,,,,,
hpcc-systems_HPCC-Platform,closed,4,400,24,376,,,,,,
hpcc-systems_HPCC-Platform,closed,5,500,36,464,,,,,,
hpcc-systems_HPCC-Platform,closed,6,600,51,549,,,,,,
hpcc-systems_HPCC-Platform,closed,7,700,58,642,,,,,,
hpcc-systems_HPCC-Platform,closed,8,800,70,730,,,,,,
hpcc-systems_HPCC-Platform,closed,9,900,77,823,,,,,,
hpcc-systems_HPCC-Platform,closed,10,1000,92,908,,,,,,
hpcc-systems_HPCC-Platform,closed,11,1100,106,994,,,,,,
hpcc-systems_HPCC-Platform,closed,12,1200,121,1079,,,,,,
hpcc-systems_HPCC-Platform,closed,13,1300,135,1165,,,,,,
hpcc-systems_HPCC-Platform,closed,14,1400,138,1262,,,,,,
hpcc-systems_HPCC-Platform,closed,15,1500,144,1356,,,,,,
hpcc-systems_HPCC-Platform,closed,16,1600,152,1448,,,,,,
hpcc-systems_HPCC-Platform,closed,17,1700,163,1537,,,,,,
hpcc-systems_HPCC-Platform,closed,18,1800,172,1628,,,,,,
hpcc-systems_HPCC-Platform,closed,19,1900,181,1719,,,,,,
hpcc-systems_HPCC-Platform,closed,20,2000,190,1810,,,,,,
hpcc-systems_HPCC-Platform,closed,21,2100,198,1902,,,,,,
hpcc-systems_HPCC-Platform,closed,22,2200,210,1990,,,,,,
hpcc-systems_HPCC-Platform,closed,23,2300,222,2078,,,,,,
hpcc-systems_HPCC-Platform,closed,24,2400,234,2166,,,,,,
hpcc-systems_HPCC-Platform,closed,25,2500,246,2254,,,,,,
hpcc-systems_HPCC-Platform,closed,26,100,5,95,,,,,,
hpcc-systems_HPCC-Platform,closed,27,200,17,183,,,,,,
hpcc-systems_HPCC-Platform,closed,28,300,25,275,,,,,,
hpcc-systems_HPCC-Platform,closed,29,400,29,371,,,,,,
hpcc-systems_HPCC-Platform,closed,30,500,40,460,,,,,,
hpcc-systems_HPCC-Platform,closed,31,600,51,549,,,,,,
hpcc-systems_HPCC-Platform,closed,32,700,57,643,,,,,,
hpcc-systems_HPCC-Platform,closed,33,800,65,735,,,,,,
hpcc-systems_HPCC-Platform,closed,34,900,68,832,,,,,,
hpcc-systems_HPCC-Platform,closed,35,1000,75,925,,,,,,
hpcc-systems_HPCC-Platform,closed,36,1100,83,1017,,,,,,
hpcc-systems_HPCC-Platform,closed,37,1200,90,1110,,,,,,
hpcc-systems_HPCC-Platform,closed,38,1300,96,1204,,,,,,
hpcc-systems_HPCC-Platform,closed,39,1400,101,1299,,,,,,
hpcc-systems_HPCC-Platform,closed,40,1500,116,1384,,,,,,
hpcc-systems_HPCC-Platform,closed,41,1600,125,1475,,,,,,
hpcc-systems_HPCC-Platform,closed,42,1700,134,1566,,,,,,
hpcc-systems_HPCC-Platform,closed,43,1800,141,1659,,,,,,
hpcc-systems_HPCC-Platform,closed,44,1900,149,1751,,,,,,
hpcc-systems_HPCC-Platform,closed,45,2000,154,1846,,,,,,
hpcc-systems_HPCC-Platform,closed,46,2100,167,1933,,,,,,
hpcc-systems_HPCC-Platform,closed,47,2200,173,2027,,,,,,
hpcc-systems_HPCC-Platform,closed,48,2300,185,2115,,,,,,
hpcc-systems_HPCC-Platform,closed,49,2400,199,2201,,,,,,
hpcc-systems_HPCC-Platform,closed,50,2500,221,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,51,2600,321,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,52,2700,421,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,53,2800,521,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,54,2900,621,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,55,3000,721,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,56,3100,821,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,57,3200,921,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,58,3300,1021,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,59,3400,1121,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,60,3500,1221,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,61,3600,1321,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,62,3700,1421,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,63,3800,1521,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,64,3900,1621,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,65,4000,1721,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,66,4100,1821,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,67,4200,1921,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,68,4300,2021,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,69,4400,2121,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,70,4500,2221,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,71,4600,2321,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,72,4700,2421,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,73,4800,2521,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,74,4900,2621,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,75,5000,2721,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,76,5100,2821,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,77,5200,2921,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,78,5300,3021,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,79,5400,3121,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,80,5500,3221,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,81,5600,3321,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,82,5700,3421,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,83,5800,3521,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,84,5900,3621,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,85,6000,3721,2279,,,,,,
BVLC_caffe,closed,1,100,12,88,,,,,,
BVLC_caffe,closed,2,200,26,174,,,,,,
BVLC_caffe,closed,3,300,32,268,,,,,,
BVLC_caffe,closed,4,400,37,363,,,,,,
BVLC_caffe,closed,5,500,51,449,,,,,,
BVLC_caffe,closed,6,600,74,526,,,,,,
BVLC_caffe,closed,7,700,87,613,,,,,,
BVLC_caffe,closed,8,800,108,692,,,,,,
BVLC_caffe,closed,9,900,134,766,,,,,,
BVLC_caffe,closed,10,1000,147,853,,,,,,
BVLC_caffe,closed,11,1100,165,935,,,,,,
BVLC_caffe,closed,12,1200,182,1018,,,,,,
BVLC_caffe,closed,13,1300,203,1097,,,,,,
BVLC_caffe,closed,14,1400,218,1182,,,,,,
BVLC_caffe,closed,15,1500,235,1265,,,,,,
BVLC_caffe,closed,16,1600,256,1344,,,,,,
BVLC_caffe,closed,17,1700,281,1419,,,,,,
BVLC_caffe,closed,18,1800,304,1496,,,,,,
BVLC_caffe,closed,19,1900,317,1583,,,,,,
BVLC_caffe,closed,20,1912,319,1593,,,,,,
