Categoria,ComTesteRejeitado,ComTesteAceito,SemTesteRejeitado,SemTesteAceito,ComTeste,SemTeste,,
Novato,6.46,20.24,13.94,51.53,30.17,69.83,,
Casual,14,31.76,15.26,36.96,47.71,52.28,,
Regular,20.23,54.29,4.88,18.74,76.38,23.62,,
