Repository,User,Pull number,Test,Situation
pydata/pandas,andrewbolster,9401,TRUE,Merged
pydata/pandas,andy1771,22941,TRUE,Merged
pydata/pandas,anushshetty,10354,TRUE,Merged
pydata/pandas,apryor6,17543,TRUE,Merged
pydata/pandas,a-rodin,10570,TRUE,Merged
pydata/pandas,aviolov,16856,TRUE,Merged
pydata/pandas,avmarchenko,17603,TRUE,Merged
pydata/pandas,bartaelterman,23406,TRUE,Merged
pydata/pandas,bbartaia,8941,TRUE,Merged
pydata/pandas,beckermr,15925,TRUE,Merged
pydata/pandas,benjschiller,9078,TRUE,Merged
pydata/pandas,berendt,11609,TRUE,Merged
pydata/pandas,Bernhard10,17152,TRUE,Merged
pydata/pandas,billletson,9008,TRUE,Merged
pydata/pandas,bmcguirk,11309,TRUE,Merged
pydata/pandas,BotoKopo,10527,TRUE,Merged
pydata/pandas,bpraggastis,16458,TRUE,Merged
pydata/pandas,briancappello,9934,TRUE,Merged
pydata/pandas,bsweger,16464,TRUE,Merged
pydata/pandas,bthyreau,9470,TRUE,Merged
pydata/pandas,buntwo,17366,TRUE,Merged
pydata/pandas,buyology,15742,TRUE,Merged
pydata/pandas,CalmDownKarm,23044,TRUE,Merged
pydata/pandas,carpevitam,10411,TRUE,Merged
pydata/pandas,cfperez,11416,TRUE,Merged
pydata/pandas,cggarvey,17645,TRUE,Merged
pydata/pandas,chalmerlowe,21820,TRUE,Merged
pydata/pandas,CharlesB2,21332,TRUE,Merged
pydata/pandas,chernrick,16430,TRUE,Merged
pydata/pandas,chrisburr,16522,TRUE,Merged
pydata/pandas,chrisfilo,16076,TRUE,Merged
pydata/pandas,chrisjbillington,17095,TRUE,Merged
pydata/pandas,clarkfitzg,10490,TRUE,Merged
pydata/pandas,clearf,10277,TRUE,Merged
pydata/pandas,corazzon,18005,TRUE,Merged
pydata/pandas,CRP,16491,TRUE,Merged
pydata/pandas,cswarth,8966,TRUE,Merged
pydata/pandas,cyrusmaher,10383,TRUE,Merged
pydata/pandas,da415,3167,TRUE,Merged
pydata/pandas,dandavison,2755,TRUE,Merged
pydata/pandas,danieljl,10230,TRUE,Merged
pydata/pandas,dannyhyunkim,22756,TRUE,Merged
pydata/pandas,danxshap,1785,TRUE,Merged
pydata/pandas,davidread,16364,TRUE,Merged
pydata/pandas,daydreamt,4379,TRUE,Merged
pydata/pandas,DeanLa,22104,TRUE,Merged
pydata/pandas,deflatSOCO,21405,TRUE,Merged
pydata/pandas,derestle-htwg,18128,TRUE,Merged
pydata/pandas,DiegoAlbertoTorres,23462,TRUE,Merged
pydata/pandas,DJCordhose,16952,TRUE,Merged
pydata/pandas,dkamm,17588,TRUE,Merged
pydata/pandas,DSLituiev,11366,TRUE,Merged
pydata/pandas,dvmk,10827,TRUE,Merged
pydata/pandas,dwillmer,16984,TRUE,Merged
pydata/pandas,ebolyen,10649,TRUE,Merged
pydata/pandas,edhalter,16225,TRUE,Merged
pydata/pandas,ejnens,3902,TRUE,Merged
pydata/pandas,erbian,16576,TRUE,Merged
pydata/pandas,eriknil,23261,TRUE,Merged
pydata/pandas,ethanluoyc,11325,TRUE,Merged
pydata/pandas,faic,16937,TRUE,Merged
pydata/pandas,feiphoon,22173,TRUE,Merged
pydata/pandas,Ffisegydd,16859,TRUE,Merged
pydata/pandas,flamingbear,10569,TRUE,Merged
pydata/pandas,forbdonut,16786,TRUE,Merged
