Categoria,ComTesteRejeitado,ComTesteAceito,SemTesteRejeitado,SemTesteAceito,ComTeste,SemTeste,,
Novato,4.35,4.35,18.52,67.91,9.22,90.78,,
Casual,4.96,10.89,18.99,62.59,18.13,81.87,,
Regular,11.2,32.94,13.45,41.44,45.03,54.97,,
