cocos2d/cocos2d-x,Novato,gallipoly,17630,TRUE,Merged,NA,NA
BVLC/caffe,Novato,inq,3602,TRUE,Merged,NA,NA
BVLC/caffe,Novato,EnjoyLeole,4842,TRUE,Merged,NA,NA
cocos2d/cocos2d-x,Novato,jjinglover,18515,TRUE,Merged,NA,NA
BVLC/caffe,Novato,vpa1977,5394,TRUE,Merged,NA,NA
cocos2d/cocos2d-x,Novato,ton1517,9766,TRUE,Merged,NA,NA
cocos2d/cocos2d-x,Casual,AknEp,11491,TRUE,Merged,NA,NA
cocos2d/cocos2d-x,Casual,suzukaze,9872,TRUE,Merged,NA,NA
cocos2d/cocos2d-x,Casual,ggshily,13776,TRUE,Merged,NA,NA
hrydgard/ppsspp,Regular,JimLee168,1841,TRUE,Merged,NA,NA
hrydgard/ppsspp,Regular,aliaspider,10804,TRUE,Merged,NA,NA
cocos2d/cocos2d-x,Regular,darkdukey,4034,TRUE,Merged,NA,NA
cocos2d/cocos2d-x,Regular,Furkanzmc,12462,TRUE,Merged,NA,NA
hrydgard/ppsspp,Regular,KentuckyCompass,177,TRUE,Merged,NA,NA
cocos2d/cocos2d-x,Regular,xiaxiaobu,4816,TRUE,Merged,NA,NA
cocos2d/cocos2d-x,Regular,calfjohn,11164,TRUE,Merged,NA,NA
cocos2d/cocos2d-x,Regular,lihex,3844,TRUE,Merged,NA,NA
cocos2d/cocos2d-x,Regular,dumganhar,2947,TRUE,Merged,NA,NA
hpcc-systems/HPCC-Platform,Regular,g-pan,6919,TRUE,Merged,NA,NA
