Repository,Pull state,Pull number,sha,Filename,File status,Additions,Deletions,Users,DateCreated,DateUpdated,dateClosed,dateMerged,,
D-Programming-Language/dmd,closed,8410,9f333b3d6f46bf508005f8be3eb0b364cf5c52bb,test/fail_compilation/scope_type.d,added,13,0,GabyForceQ,2018-06-27 10:28:16,2018-06-27 10:28:16,2018-09-28 13:27:48,NA
D-Programming-Language/dmd,closed,8410,db807c5e0742a15257cf457ee2ed2c6f91eccb17,test/fail_compilation/typeerrors.d,modified,15,14,GabyForceQ,2018-06-27 10:28:16,2018-06-27 10:28:16,2018-09-28 13:27:48,NA
D-Programming-Language/dmd,closed,8410,c5c9374d0bb6e0b7dadb5b5aa39b1fcebd1689df,test/runnable/sctor.d,modified,0,14,GabyForceQ,2018-06-27 10:28:16,2018-06-27 10:28:16,2018-09-28 13:27:48,NA
D-Programming-Language/dmd,closed,8410,429d2a1996ad4075ee20644a86dcdb0aec37cfd6,test/runnable/sctor2.d,added,19,0,GabyForceQ,2018-06-27 10:28:16,2018-06-27 10:28:16,2018-09-28 13:27:48,NA
D-Programming-Language/dmd,closed,8486,9bfc0a564eb94410e4684e1208cc595d56c58af2,test/fail_compilation/fail19076.d,added,11,0,gapdan,2018-07-11 12:34:18,2018-07-11 12:34:18,2018-07-11 14:18:46,2018-07-11 14:18:46
D-Programming-Language/dmd,closed,3744,2bca6ff8ff5eb4e40eb3c3833b1389a074c7b5c8,test/compilable/test12593.d,modified,3,0,jcrapuchettes,2014-07-11 14:53:59,2014-07-11 14:53:59,2014-07-11 15:15:06,2014-07-11 15:15:06
D-Programming-Language/dmd,closed,3744,8ba98d7a4c438cdc19d194501e39b56021907974,test/fail_compilation/diag13074.d,added,34,0,jcrapuchettes,2014-07-11 14:53:59,2014-07-11 14:53:59,2014-07-11 15:15:06,2014-07-11 15:15:06
D-Programming-Language/dmd,closed,1240,ef06f6fc4f0ef66cb4cc6b62c0fadcf7ed26da82,test/compilable/aliasdecl.d,added,35,0,jholewinski,2012-11-01 02:18:14,2012-11-01 02:18:14,2013-05-19 22:45:56,2013-05-19 22:45:56
D-Programming-Language/dmd,closed,1240,c6c5aea09ac2946042a78a0104b024f21379d97d,test/compilable/extra-files/ddoc1.html,modified,18,18,jholewinski,2012-11-01 02:18:14,2012-11-01 02:18:14,2013-05-19 22:45:56,2013-05-19 22:45:56
D-Programming-Language/dmd,closed,1240,6222def3808ab447035c87cbc7043adb9d7720ca,test/compilable/extra-files/ddoc10.html,modified,28,28,jholewinski,2012-11-01 02:18:14,2012-11-01 02:18:14,2013-05-19 22:45:56,2013-05-19 22:45:56
