Categoria,ComTesteRejeitado,ComTesteAceito,SemTesteRejeitado,SemTesteAceito,ComTeste,SemTeste,,
Novato,4.84,20.62,18.56,50.56,27.62,72.38,,
Casual,7.9,27.94,14.58,46.59,38.83,61.17,,
Regular,16.96,46.17,10.81,24.68,64.5,35.5,,
