Categoria,ComTesteRejeitado,ComTesteAceito,SemTesteRejeitado,SemTesteAceito,ComTeste,SemTeste,,
Novato,4.5,16.47,14.45,61.89,21.09,78.9,,
Casual,10.71,22.96,11.38,54.14,34.21,65.79,,
Regular,18.89,48.82,4.18,28.11,67.71,32.29,,
