Categoria,ComTesteRejeitado,ComTesteAceito,SemTesteRejeitado,SemTesteAceito,ComTeste,SemTeste,,
Novato,9.58,31.37,6.43,21.76,41.44,28.56,,
Casual,11.95,38.87,5.53,23.36,51.1,28.9,,
Regular,21.48,75.08,1.14,2.03,96.83,3.17,,
