Categoria,ComTesteRejeitado,ComTesteAceito,SemTesteRejeitado,SemTesteAceito,ComTeste,SemTeste,,
Novato,0.79,5.7,7.24,38.98,11.58,48.42,,
Casual,3.96,15.54,5.55,52.04,22.4,57.6,,
Regular,7.09,52.21,5.49,33.71,60.8,39.2,,
