Repository,User,Pull number,Test,Situation
rails/rails,nkondratyev,33278,TRUE,Merged
rails/rails,nrser,29955,TRUE,Merged
rails/rails,numbata,33375,TRUE,Merged
rails/rails,nvalchanov96,30268,TRUE,Merged
rails/rails,opkk4005,32361,TRUE,Merged
rails/rails,orekyuu,31720,TRUE,Merged
rails/rails,pat,29887,TRUE,Merged
rails/rails,pawandubey,29924,TRUE,Merged
rails/rails,pedantic-git,31081,TRUE,Merged
rails/rails,pedroadame,30817,TRUE,Merged
rails/rails,pyromaniac,32776,TRUE,Merged
rails/rails,r7kamura,32575,TRUE,Merged
rails/rails,renchap,31854,TRUE,Merged
rails/rails,rmachielse,30700,TRUE,Merged
rails/rails,robbertbrak,33879,TRUE,Merged
rails/rails,robotdana,32654,TRUE,Merged
rails/rails,rob-race,33718,TRUE,Merged
rails/rails,robwold,30883,TRUE,Merged
rails/rails,rolandasb,30039,TRUE,Merged
rails/rails,rolftimmermans,31069,TRUE,Merged
rails/rails,romankovt,31179,TRUE,Merged
rails/rails,rrosenblum,33673,TRUE,Merged
rails/rails,Ruffeng,32100,TRUE,Merged
rails/rails,sabunt,32556,TRUE,Merged
rails/rails,saveav,32065,TRUE,Merged
rails/rails,sdhull,32594,TRUE,Merged
rails/rails,seanlinsley,30918,TRUE,Merged
rails/rails,searls,33125,TRUE,Merged
rails/rails,serihiro,30763,TRUE,Merged
rails/rails,shindonghoooon,31062,TRUE,Merged
rails/rails,siasmj,33122,TRUE,Merged
rails/rails,sigmen,32517,TRUE,Merged
rails/rails,sj26,32807,TRUE,Merged
rails/rails,sjain1107,33943,TRUE,Merged
rails/rails,skatkov,30520,TRUE,Merged
rails/rails,sprestel,31147,TRUE,Merged
rails/rails,StanBoyet,33254,TRUE,Merged
rails/rails,stoodfarback,33822,TRUE,Merged
rails/rails,suyesh,33533,TRUE,Merged
rails/rails,tarebyte,32865,TRUE,Merged
rails/rails,teddywing,32540,TRUE,Merged
rails/rails,Tensho,32108,TRUE,Merged
rails/rails,thetizzo,33451,TRUE,Merged
rails/rails,thoughtless,32607,TRUE,Merged
rails/rails,tkoyama1988,33897,TRUE,Merged
rails/rails,torce,33003,TRUE,Merged
rails/rails,travisofthenorth,30709,TRUE,Merged
rails/rails,trev,30103,TRUE,Merged
rails/rails,trezona-lecomte,32833,TRUE,Merged
rails/rails,tscoville2012,30995,TRUE,Merged
rails/rails,varyonic,33378,TRUE,Merged
rails/rails,vinistock,33585,TRUE,Merged
rails/rails,wassimk,30424,TRUE,Merged
rails/rails,WilliamMaia,33134,TRUE,Merged
rails/rails,yagudaev,32536,TRUE,Merged
rails/rails,Yanchek99,31264,TRUE,Merged
rails/rails,yaroslav,32605,TRUE,Merged
rails/rails,ycherniavskyi,33405,TRUE,Merged
rails/rails,yoreek,31751,TRUE,Merged
rails/rails,ys,31335,TRUE,Merged
rails/rails,yulia-che,29928,TRUE,Merged
rails/rails,zac7272,33140,TRUE,Merged
rails/rails,zhouguangming,31492,TRUE,Merged
rails/rails,zokioki,30319,TRUE,Merged
rails/rails,zverok,30192,TRUE,Merged
rails/rails,zzak,30418,TRUE,Merged
