Repository,Estado,Page,Total pulls,Pulls wiht tests,pulls without testes,,,
elasticsearch_elasticsearch,closed,15,1500,1273,227,,,
elasticsearch_elasticsearch,closed,16,1600,1373,227,,,
elasticsearch_elasticsearch,closed,17,1700,1473,227,,,
elasticsearch_elasticsearch,closed,18,1800,1573,227,,,
elasticsearch_elasticsearch,closed,19,1900,1673,227,,,
elasticsearch_elasticsearch,closed,20,2000,1773,227,,,
elasticsearch_elasticsearch,closed,21,2100,1873,227,,,
elasticsearch_elasticsearch,closed,22,2200,1973,227,,,
elasticsearch_elasticsearch,closed,23,100,65,35,,,
elasticsearch_elasticsearch,closed,24,200,118,82,,,
elasticsearch_elasticsearch,closed,25,300,174,126,,,
elasticsearch_elasticsearch,closed,26,400,223,177,,,
elasticsearch_elasticsearch,closed,27,500,280,220,,,
elasticsearch_elasticsearch,closed,28,600,334,266,,,
elasticsearch_elasticsearch,closed,29,700,397,303,,,
elasticsearch_elasticsearch,closed,30,800,460,340,,,
elasticsearch_elasticsearch,closed,31,900,510,390,,,
elasticsearch_elasticsearch,closed,32,1000,562,438,,,
elasticsearch_elasticsearch,closed,33,1100,610,490,,,
elasticsearch_elasticsearch,closed,34,1200,662,538,,,
elasticsearch_elasticsearch,closed,35,1300,762,538,,,
elasticsearch_elasticsearch,closed,36,1400,862,538,,,
elasticsearch_elasticsearch,closed,37,1500,962,538,,,
elasticsearch_elasticsearch,closed,38,1600,1062,538,,,
elasticsearch_elasticsearch,closed,39,1700,1162,538,,,
elasticsearch_elasticsearch,closed,40,1800,1262,538,,,
elasticsearch_elasticsearch,closed,41,1900,1362,538,,,
elasticsearch_elasticsearch,closed,42,2000,1462,538,,,
elasticsearch_elasticsearch,closed,43,2100,1562,538,,,
elasticsearch_elasticsearch,closed,44,2200,1662,538,,,
elasticsearch_elasticsearch,closed,45,2300,1762,538,,,
elasticsearch_elasticsearch,closed,46,2400,1862,538,,,
elasticsearch_elasticsearch,closed,47,2500,1962,538,,,
elasticsearch_elasticsearch,closed,48,2600,2062,538,,,
elasticsearch_elasticsearch,closed,49,2700,2162,538,,,
elasticsearch_elasticsearch,closed,50,2800,2262,538,,,
elasticsearch_elasticsearch,closed,51,2900,2362,538,,,
elasticsearch_elasticsearch,closed,52,3000,2462,538,,,
elasticsearch_elasticsearch,closed,53,100,60,40,,,
elasticsearch_elasticsearch,closed,54,200,111,89,,,
elasticsearch_elasticsearch,closed,55,300,169,131,,,
elasticsearch_elasticsearch,closed,56,400,228,172,,,
elasticsearch_elasticsearch,closed,57,500,292,208,,,
elasticsearch_elasticsearch,closed,58,600,355,245,,,
elasticsearch_elasticsearch,closed,59,700,413,287,,,
elasticsearch_elasticsearch,closed,60,800,472,328,,,
elasticsearch_elasticsearch,closed,61,900,524,376,,,
elasticsearch_elasticsearch,closed,62,1000,580,420,,,
elasticsearch_elasticsearch,closed,63,1100,639,461,,,
elasticsearch_elasticsearch,closed,64,1200,695,505,,,
elasticsearch_elasticsearch,closed,65,1300,795,505,,,
elasticsearch_elasticsearch,closed,66,1400,895,505,,,
elasticsearch_elasticsearch,closed,67,1500,995,505,,,
elasticsearch_elasticsearch,closed,68,1600,1095,505,,,
elasticsearch_elasticsearch,closed,69,1700,1195,505,,,
elasticsearch_elasticsearch,closed,70,1800,1295,505,,,
elasticsearch_elasticsearch,closed,71,1900,1395,505,,,
elasticsearch_elasticsearch,closed,72,2000,1495,505,,,
elasticsearch_elasticsearch,closed,73,2100,1595,505,,,
elasticsearch_elasticsearch,closed,74,2200,1695,505,,,
elasticsearch_elasticsearch,closed,75,2300,1795,505,,,
elasticsearch_elasticsearch,closed,76,2400,1895,505,,,
elasticsearch_elasticsearch,closed,77,2500,1995,505,,,
elasticsearch_elasticsearch,closed,78,2600,2095,505,,,
elasticsearch_elasticsearch,closed,79,2700,2195,505,,,
elasticsearch_elasticsearch,closed,80,2800,2295,505,,,
elasticsearch_elasticsearch,closed,81,2900,2395,505,,,
elasticsearch_elasticsearch,closed,82,3000,2495,505,,,
elasticsearch_elasticsearch,closed,83,100,58,42,,,
elasticsearch_elasticsearch,closed,84,200,108,92,,,
elasticsearch_elasticsearch,closed,85,300,159,141,,,
elasticsearch_elasticsearch,closed,86,400,204,196,,,
elasticsearch_elasticsearch,closed,87,500,264,236,,,
elasticsearch_elasticsearch,closed,88,600,314,286,,,
elasticsearch_elasticsearch,closed,89,700,363,337,,,
elasticsearch_elasticsearch,closed,90,800,419,381,,,
elasticsearch_elasticsearch,closed,91,900,468,432,,,
elasticsearch_elasticsearch,closed,92,1000,519,481,,,
elasticsearch_elasticsearch,closed,93,1100,567,533,,,
elasticsearch_elasticsearch,closed,94,1200,603,597,,,
elasticsearch_elasticsearch,closed,95,1300,703,597,,,
elasticsearch_elasticsearch,closed,96,1400,803,597,,,
elasticsearch_elasticsearch,closed,97,1500,903,597,,,
elasticsearch_elasticsearch,closed,98,1600,1003,597,,,
elasticsearch_elasticsearch,closed,99,1700,1103,597,,,
elasticsearch_elasticsearch,closed,100,1800,1203,597,,,
elasticsearch_elasticsearch,closed,101,1900,1303,597,,,
elasticsearch_elasticsearch,closed,102,2000,1403,597,,,
elasticsearch_elasticsearch,closed,103,2100,1503,597,,,
elasticsearch_elasticsearch,closed,104,2200,1603,597,,,
elasticsearch_elasticsearch,closed,105,2300,1703,597,,,
elasticsearch_elasticsearch,closed,106,2400,1803,597,,,
elasticsearch_elasticsearch,closed,107,2500,1903,597,,,
elasticsearch_elasticsearch,closed,108,2600,2003,597,,,
elasticsearch_elasticsearch,closed,109,2700,2103,597,,,
elasticsearch_elasticsearch,closed,110,2800,2203,597,,,
elasticsearch_elasticsearch,closed,111,2900,2303,597,,,
elasticsearch_elasticsearch,closed,112,3000,2403,597,,,
elasticsearch_elasticsearch,closed,113,100,59,41,,,
elasticsearch_elasticsearch,closed,114,200,110,90,,,
elasticsearch_elasticsearch,closed,115,300,148,152,,,
elasticsearch_elasticsearch,closed,116,400,193,207,,,
elasticsearch_elasticsearch,closed,117,500,243,257,,,
elasticsearch_elasticsearch,closed,118,600,296,304,,,
elasticsearch_elasticsearch,closed,119,700,337,363,,,
elasticsearch_elasticsearch,closed,120,800,383,417,,,
elasticsearch_elasticsearch,closed,121,900,436,464,,,
elasticsearch_elasticsearch,closed,122,1000,478,522,,,
elasticsearch_elasticsearch,closed,123,1100,534,566,,,
elasticsearch_elasticsearch,closed,124,1200,578,622,,,
elasticsearch_elasticsearch,closed,125,1300,678,622,,,
elasticsearch_elasticsearch,closed,126,1400,778,622,,,
elasticsearch_elasticsearch,closed,127,1500,878,622,,,
elasticsearch_elasticsearch,closed,128,1600,978,622,,,
elasticsearch_elasticsearch,closed,129,1700,1078,622,,,
elasticsearch_elasticsearch,closed,130,1800,1178,622,,,
elasticsearch_elasticsearch,closed,131,1900,1278,622,,,
elasticsearch_elasticsearch,closed,132,2000,1378,622,,,
elasticsearch_elasticsearch,closed,133,2100,1478,622,,,
elasticsearch_elasticsearch,closed,134,2200,1578,622,,,
elasticsearch_elasticsearch,closed,135,2300,1678,622,,,
elasticsearch_elasticsearch,closed,136,2400,1778,622,,,
elasticsearch_elasticsearch,closed,137,2500,1878,622,,,
elasticsearch_elasticsearch,closed,138,2600,1978,622,,,
elasticsearch_elasticsearch,closed,139,2700,2078,622,,,
elasticsearch_elasticsearch,closed,140,2800,2178,622,,,
elasticsearch_elasticsearch,closed,141,2900,2278,622,,,
elasticsearch_elasticsearch,closed,142,3000,2378,622,,,
elasticsearch_elasticsearch,closed,143,100,52,48,,,
elasticsearch_elasticsearch,closed,144,200,93,107,,,
elasticsearch_elasticsearch,closed,145,300,138,162,,,
elasticsearch_elasticsearch,closed,146,400,180,220,,,
elasticsearch_elasticsearch,closed,147,500,228,272,,,
elasticsearch_elasticsearch,closed,148,600,272,328,,,
elasticsearch_elasticsearch,closed,149,700,326,374,,,
elasticsearch_elasticsearch,closed,150,800,380,420,,,
elasticsearch_elasticsearch,closed,151,900,436,464,,,
elasticsearch_elasticsearch,closed,152,1000,485,515,,,
elasticsearch_elasticsearch,closed,153,1100,539,561,,,
elasticsearch_elasticsearch,closed,154,1200,587,613,,,
elasticsearch_elasticsearch,closed,155,1300,687,613,,,
elasticsearch_elasticsearch,closed,156,1400,787,613,,,
elasticsearch_elasticsearch,closed,157,1500,887,613,,,
elasticsearch_elasticsearch,closed,158,1600,987,613,,,
elasticsearch_elasticsearch,closed,159,1700,1087,613,,,
elasticsearch_elasticsearch,closed,160,1800,1187,613,,,
elasticsearch_elasticsearch,closed,161,1900,1287,613,,,
elasticsearch_elasticsearch,closed,162,2000,1387,613,,,
elasticsearch_elasticsearch,closed,163,2100,1487,613,,,
elasticsearch_elasticsearch,closed,164,2200,1587,613,,,
elasticsearch_elasticsearch,closed,165,2300,1687,613,,,
elasticsearch_elasticsearch,closed,166,2400,1787,613,,,
elasticsearch_elasticsearch,closed,167,2500,1887,613,,,
elasticsearch_elasticsearch,closed,168,2600,1987,613,,,
elasticsearch_elasticsearch,closed,169,2700,2087,613,,,
elasticsearch_elasticsearch,closed,170,2800,2187,613,,,
elasticsearch_elasticsearch,closed,171,2900,2287,613,,,
elasticsearch_elasticsearch,closed,172,3000,2387,613,,,
RostarSynergistics_ShinyExpenseTracker,closed,1,96,72,24,,,
mff-uk_ODCS,closed,1,10,1,9,,,
cs2103aug2014-t11-1j_main,closed,1,2,0,2,,,
servicosgovbr_guia-de-servicos,closed,1,57,1,56,,,
CS340Group_hit,closed,1,100,37,63,,,
CS340Group_hit,closed,2,152,64,88,,,
enonic_xp,closed,1,100,56,44,,,
enonic_xp,closed,2,200,105,95,,,
enonic_xp,closed,3,300,169,131,,,
enonic_xp,closed,4,400,221,179,,,
enonic_xp,closed,5,500,240,260,,,
enonic_xp,closed,6,600,263,337,,,
enonic_xp,closed,7,700,274,426,,,
enonic_xp,closed,8,800,300,500,,,
enonic_xp,closed,9,900,316,584,,,
enonic_xp,closed,10,1000,338,662,,,
enonic_xp,closed,11,1100,353,747,,,
enonic_xp,closed,12,1200,381,819,,,
enonic_xp,closed,13,1300,409,891,,,
